Fatigue_Exponent,Channel,Optimized_Allocation_%,Recommended_Budget_INR
0.3,Influencer Blog,23.46,23457189.0
0.3,Google Search,20.24,20236443.0
0.3,Instagram,19.83,19831481.0
0.3,Marketplace,18.55,18552936.0
0.3,YouTube,17.92,17921951.0
0.4,Influencer Blog,24.69,24687812.0
0.4,Google Search,20.27,20274969.0
0.4,Instagram,19.74,19735804.0
0.4,Marketplace,18.06,18057799.0
0.4,YouTube,17.24,17243616.0
0.5,Influencer Blog,25.96,25956005.0
0.5,Google Search,20.29,20292467.0
0.5,Instagram,19.62,19620187.0
0.5,Marketplace,17.56,17557620.0
0.5,YouTube,16.57,16573721.0
0.6,Influencer Blog,27.26,27260526.0
0.6,Google Search,20.29,20288532.0
0.6,Instagram,19.48,19484648.0
0.6,Marketplace,17.05,17053266.0
0.6,YouTube,15.91,15913029.0
0.7,Influencer Blog,28.6,28599914.0
0.7,Google Search,20.26,20262850.0
0.7,Instagram,19.33,19329300.0
0.7,Marketplace,16.55,16545642.0
0.7,YouTube,15.26,15262293.0
0.8,Influencer Blog,29.97,29972501.0
0.8,Google Search,20.22,20215206.0
0.8,Instagram,19.15,19154351.0
0.8,Marketplace,16.04,16035682.0
0.8,YouTube,14.62,14622259.0
