User_ID,journey_path,converted
U_B01_00000,Influencer Blog,0
U_B01_00001,Google Search -> Google Search -> Marketplace -> Instagram -> Influencer Blog,0
U_B01_00002,Marketplace -> Google Search -> YouTube -> Influencer Blog -> Influencer Blog -> Google Search,0
U_B01_00003,Google Search -> Instagram,0
U_B01_00004,Google Search -> Google Search -> YouTube -> YouTube,0
U_B01_00005,Marketplace -> Marketplace -> Influencer Blog -> Marketplace -> YouTube -> Instagram,0
U_B01_00006,Google Search -> Google Search -> YouTube -> Influencer Blog -> Google Search -> Marketplace -> Influencer Blog,0
U_B01_00007,Influencer Blog -> YouTube -> Google Search -> Marketplace,0
U_B01_00008,Google Search,0
U_B01_00009,Influencer Blog -> YouTube -> Google Search -> YouTube -> Influencer Blog,0
U_B01_00010,Instagram -> Marketplace,0
U_B01_00011,Google Search -> Google Search,1
U_B01_00012,YouTube -> Marketplace -> YouTube -> YouTube,0
U_B01_00013,Instagram -> Google Search -> Instagram -> Google Search -> Marketplace,0
U_B01_00014,YouTube -> Marketplace -> Marketplace,1
U_B01_00015,YouTube -> Instagram -> Influencer Blog -> Marketplace,0
U_B01_00016,Marketplace -> Google Search -> Marketplace -> Google Search -> Marketplace -> Instagram,0
U_B01_00017,Marketplace -> Google Search -> Marketplace,0
U_B01_00018,YouTube -> Google Search,0
U_B01_00019,Influencer Blog,0
U_B01_00020,Marketplace -> Marketplace -> YouTube -> Google Search,0
U_B01_00021,Influencer Blog -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace,0
U_B01_00022,Influencer Blog -> Marketplace -> Google Search -> YouTube -> Instagram -> Marketplace,0
U_B01_00023,Influencer Blog,0
U_B01_00024,Google Search -> Google Search -> Marketplace -> Marketplace -> Instagram -> Instagram -> Instagram -> Instagram -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Marketplace -> Marketplace -> YouTube -> YouTube -> YouTube -> YouTube -> YouTube -> YouTube -> Marketplace -> Marketplace -> Google Search -> Google Search -> YouTube -> YouTube -> Marketplace -> Marketplace -> Google Search -> Google Search -> YouTube -> YouTube -> Marketplace -> Marketplace -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> Instagram -> Instagram -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Influencer Blog -> Instagram -> Instagram -> YouTube -> YouTube -> Instagram -> Instagram -> Instagram -> Instagram -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Google Search -> Google Search -> YouTube -> YouTube -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Marketplace -> Google Search -> Google Search -> Instagram -> Instagram -> Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> Marketplace -> Marketplace -> YouTube -> YouTube -> YouTube -> YouTube -> Instagram -> Instagram -> YouTube -> YouTube -> Influencer Blog -> Influencer Blog,0
U_B01_00025,Google Search -> Influencer Blog -> Marketplace -> Marketplace -> Google Search,0
U_B01_00026,Instagram -> Influencer Blog -> Google Search -> YouTube -> Influencer Blog,0
U_B01_00027,Google Search -> Google Search -> Marketplace -> Google Search -> Marketplace,0
U_B01_00028,Marketplace -> Influencer Blog -> Marketplace,0
U_B01_00029,Google Search -> Marketplace -> Marketplace,0
U_B01_00030,Marketplace -> Marketplace,0
U_B01_00031,Google Search -> Google Search -> Google Search -> Instagram -> YouTube -> Marketplace -> Instagram,1
U_B01_00032,Instagram -> Marketplace -> Influencer Blog,0
U_B01_00033,Influencer Blog -> Google Search,0
U_B01_00034,Instagram -> Instagram -> Influencer Blog -> Instagram -> Influencer Blog,0
U_B01_00035,Influencer Blog,0
U_B01_00036,Instagram -> Google Search -> Google Search -> Influencer Blog -> YouTube -> Google Search,0
U_B01_00037,YouTube -> Marketplace -> Influencer Blog,0
U_B01_00038,Influencer Blog -> Google Search -> Influencer Blog,0
U_B01_00039,YouTube,0
U_B01_00040,Google Search -> YouTube -> Instagram -> Instagram,0
U_B01_00041,Google Search -> Google Search -> Influencer Blog -> Influencer Blog -> YouTube -> YouTube -> YouTube,0
U_B01_00042,YouTube -> Marketplace -> Influencer Blog,0
U_B01_00043,Influencer Blog -> Instagram -> Google Search,0
U_B01_00044,Instagram -> Marketplace -> Marketplace -> YouTube,0
U_B01_00045,Google Search -> YouTube,0
U_B01_00046,Influencer Blog -> Influencer Blog -> Influencer Blog -> Google Search -> Marketplace -> Marketplace -> Marketplace,0
U_B01_00047,Influencer Blog,0
U_B01_00048,YouTube -> Marketplace -> Marketplace,0
U_B01_00049,Google Search -> Google Search -> Google Search -> YouTube -> Instagram -> Instagram,1
U_B01_00050,Influencer Blog,0
U_B01_00051,YouTube -> Influencer Blog,0
U_B01_00052,YouTube -> Google Search -> Google Search -> Influencer Blog -> Instagram -> Instagram,0
U_B01_00053,Google Search -> Google Search -> YouTube,0
U_B01_00054,Influencer Blog -> Instagram -> YouTube -> Google Search -> Google Search -> Influencer Blog,0
U_B01_00055,YouTube -> Influencer Blog -> Google Search,0
U_B01_00056,Influencer Blog -> Marketplace -> YouTube -> Marketplace -> YouTube -> Marketplace,0
U_B01_00057,Influencer Blog -> Marketplace -> Instagram -> Influencer Blog,0
U_B01_00058,Google Search,0
U_B01_00059,Instagram -> YouTube -> Marketplace -> YouTube -> Google Search -> Google Search,1
U_B01_00060,YouTube -> Marketplace,0
U_B01_00061,YouTube -> Marketplace -> Influencer Blog -> YouTube -> YouTube -> Marketplace,0
U_B01_00062,Google Search -> Google Search -> Google Search -> Influencer Blog -> Google Search -> Marketplace,0
U_B01_00063,YouTube -> Influencer Blog -> Instagram -> Instagram,0
U_B01_00064,Influencer Blog,0
U_B01_00065,YouTube,0
U_B01_00066,Influencer Blog,0
U_B01_00067,Google Search -> YouTube,0
U_B01_00068,Google Search -> Instagram,0
U_B01_00069,Google Search -> Influencer Blog -> Marketplace,0
U_B01_00070,Google Search -> Instagram -> YouTube -> YouTube -> Instagram,1
U_B01_00071,Instagram -> Influencer Blog -> YouTube,0
U_B01_00072,YouTube -> YouTube,0
U_B01_00073,Instagram,0
U_B01_00074,YouTube -> Instagram -> Instagram -> Influencer Blog,0
U_B01_00075,Marketplace -> Marketplace -> Influencer Blog -> Instagram -> Instagram -> YouTube -> YouTube,0
U_B01_00076,Influencer Blog -> YouTube,0
U_B01_00077,Marketplace -> Influencer Blog -> YouTube -> Google Search -> Google Search -> Google Search,0
U_B01_00078,Instagram -> Influencer Blog -> YouTube -> Instagram -> YouTube -> Influencer Blog,0
U_B01_00079,Marketplace -> YouTube -> Influencer Blog -> Instagram -> Google Search -> YouTube,0
U_B01_00080,Marketplace -> YouTube,0
U_B01_00081,YouTube -> Marketplace -> Instagram,0
U_B01_00082,Instagram -> Instagram -> YouTube -> Marketplace -> Google Search -> YouTube,0
U_B01_00083,Google Search -> Google Search,0
U_B01_00084,Influencer Blog -> YouTube -> Influencer Blog -> Instagram -> Influencer Blog -> Influencer Blog,0
U_B01_00085,Instagram -> Google Search -> Google Search -> Influencer Blog -> Marketplace,0
U_B01_00086,Instagram -> Influencer Blog -> YouTube -> YouTube,0
U_B01_00087,Marketplace -> Google Search -> Google Search,0
U_B01_00088,Google Search,0
U_B01_00089,Google Search -> Influencer Blog -> YouTube -> YouTube -> YouTube,0
U_B01_00090,Instagram -> YouTube,0
U_B01_00091,Instagram -> Instagram -> Influencer Blog -> Instagram -> Instagram,0
U_B01_00092,Marketplace -> YouTube -> YouTube -> Google Search -> Marketplace -> Google Search,0
U_B01_00093,Instagram -> Google Search,0
U_B01_00094,YouTube -> YouTube -> Influencer Blog,0
U_B01_00095,Marketplace -> Google Search -> YouTube,0
U_B01_00096,Google Search,0
U_B01_00097,Instagram,0
U_B01_00098,Google Search -> Influencer Blog -> YouTube -> Google Search -> Marketplace -> Influencer Blog,0
U_B01_00099,Instagram -> YouTube -> Instagram -> YouTube -> Influencer Blog -> Instagram,0
U_B01_00100,Influencer Blog -> Google Search -> Influencer Blog -> YouTube,0
U_B01_00101,YouTube -> YouTube -> Google Search -> YouTube,0
U_B01_00102,Instagram -> Influencer Blog -> Google Search -> Influencer Blog,0
U_B01_00103,Marketplace -> Influencer Blog -> Instagram -> Marketplace -> Instagram -> YouTube,0
U_B01_00104,Marketplace,0
